address,lat,lng,formatted_address,status,cached_at
"Świebodzin Świebodzin, Polska",52.2472962,15.5335721,"Świebodzin, Poland",OK,2026-04-21T18:25:48.440583
"66-400 Gorzów Wielkopolski, Polska",52.730011,15.2524862,"66-400 Gorzów Wielkopolski, Poland",OK,2026-04-21T18:25:48.588969
"71-837 Szczecin, Polska",53.4313964,14.5092544,"71-837 Szczecin, Poland",OK,2026-04-21T18:25:48.768449
"31-876 Kraków, Polska",50.0870718,19.9849429,"31-876 Kraków, Poland",OK,2026-04-21T18:25:48.907886
"33-300 Nowy Sącz, Polska",49.6151725,20.7173152,"33-300 Nowy Sącz, Poland",OK,2026-04-21T18:25:49.063189
"34-700 Ponice, Polska",49.5674021,19.9850536,"Ponice, Poland",OK,2026-04-21T18:25:49.212028
"92-103 Łódź, Polska",51.7948187,19.5138941,"92-103 Łódź, Poland",OK,2026-04-21T18:25:49.345212
"90-001 Łódź, Polska",51.773118,19.4805928,"90-001 Łódź, Poland",OK,2026-04-21T18:25:49.452090
"93-564 Łódź, Polska",51.7410194,19.4401259,"93-564 Łódź, Poland",OK,2026-04-21T18:25:49.567592
"10-454 Olsztyn, Polska",53.7731969,20.474504,"10-454 Olsztyn, Poland",OK,2026-04-21T18:25:49.714067
"10-088 Olsztyn, Polska",53.7601799,20.4864697,"10-088 Olsztyn, Poland",OK,2026-04-21T18:25:49.827842
"41-250 Czeladź, Polska",50.3171514,19.0850598,"41-250 Czeladź, Poland",OK,2026-04-21T18:25:49.997190
"41-300 Dąbrowa Górnicza, Polska",50.3393621,19.2371382,"41-300 Dąbrowa Górnicza, Poland",OK,2026-04-21T18:25:50.157933
"43-100 Tychy, Polska",50.120148,19.0185475,"43-100 Tychy, Poland",OK,2026-04-21T18:25:50.285326
"39-300 Mielec, Polska",50.2922018,21.4441947,"39-300 Mielec, Poland",OK,2026-04-21T18:25:50.395657
"38-430 Miejsce Piastowe, Polska",49.63456799999999,21.7869798,"38-430 Miejsce Piastowe, Poland",OK,2026-04-21T18:25:50.528764
"35-082 Rzeszów, Polska",50.0085258,21.9698619,"35-082 Rzeszów, Poland",OK,2026-04-21T18:25:50.677411
"47-400 Raciborz, Polska",50.0801458,18.2329677,"47-400 Raciborz, Poland",OK,2026-04-21T18:25:50.840920
